id,tokens,pos_tags,chunk_tags,ner_tags
0,"['SOCCER' '-' 'JAPAN' 'GET' 'LUCKY' 'WIN' ',' 'CHINA' 'IN' 'SURPRISE'
 'DEFEAT' '.']",[21  8 22 37 22 22  6 22 15 12 21  7],[11  0 11 21 11 12  0 11 13 11 12  0],[0 0 5 0 0 0 0 1 0 0 0 0]
1,['Nadim' 'Ladki'],[22 22],[11 12],[1 2]
2,"['AL-AIN' ',' 'United' 'Arab' 'Emirates' '1996-12-06']",[22  6 22 22 23 11],[11  0 11 12 12 12],[5 0 5 6 6 0]
3,"['Japan' 'began' 'the' 'defence' 'of' 'their' 'Asian' 'Cup' 'title' 'with'
 'a' 'lucky' '2-1' 'win' 'against' 'Syria' 'in' 'a' 'Group' 'C'
 'championship' 'match' 'on' 'Friday' '.']","[22 38 12 21 15 29 16 22 21 15 12 16 11 41 15 22 15 12 22 22 21 21 15 22
  7]","[11 21 11 12 13 11 12 12 12 13 11 12 12 21 13 11 13 11 12 12 12 12 13 11
  0]",[5 0 0 0 0 0 7 8 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0]
4,"['But' 'China' 'saw' 'their' 'luck' 'desert' 'them' 'in' 'the' 'second'
 'match' 'of' 'the' 'group' ',' 'crashing' 'to' 'a' 'surprise' '2-0'
 'defeat' 'to' 'newcomers' 'Uzbekistan' '.']","[10 22 38 29 21 37 28 15 12 21 21 15 12 21  6 39 35 12 21 11 21 35 24 22
  7]","[ 0 11 21 11 12 21 11 13 11 12 12 13 11 12  0 21 13 11 12 12 12 13 11 12
  0]",[0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0]
5,"['China' 'controlled' 'most' 'of' 'the' 'match' 'and' 'saw' 'several'
 'chances' 'missed' 'until' 'the' '78th' 'minute' 'when' 'Uzbek' 'striker'
 'Igor' 'Shkvyrin' 'took' 'advantage' 'of' 'a' 'misdirected' 'defensive'
 'header' 'to' 'lob' 'the' 'ball' 'over' 'the' 'advancing' 'Chinese'
 'keeper' 'and' 'into' 'an' 'empty' 'net' '.']","[22 38 18 15 12 21 10 38 16 24 38 15 12 16 21 46 22 21 16 22 38 21 15 12
 16 16 21 35 37 12 21 15 12 39 16 21 10 15 12 16 21  7]","[11 21 11 13 11 12  0 21 11 12 21 17 11 12 12  3 11 12 11 12 21 11 13 11
 12 12 12 21 22 11 12 13 11 12 12 12  0 13 11 12 12  0]","[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0
 0 0 0 0 0]"
6,"['Oleg' 'Shatskiku' 'made' 'sure' 'of' 'the' 'win' 'in' 'injury' 'time'
 ',' 'hitting' 'an' 'unstoppable' 'left' 'foot' 'shot' 'from' 'just'
 'outside' 'the' 'area' '.']",[22 22 38 16 15 12 41 15 21 21  6 39 12 16 38 21 21 15 30 15 12 21  7],[11 12 21  1 13 11 21 13 11 12  0 21 11 12 21 11 12 13 11 13 11 12  0],[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
7,"['The' 'former' 'Soviet' 'republic' 'was' 'playing' 'in' 'an' 'Asian'
 'Cup' 'finals' 'tie' 'for' 'the' 'first' 'time' '.']",[12 16 16 21 38 39 15 12 22 22 24 21 15 12 16 21  7],[11 12 12 12 21 22 13 11 12 12 12 12 13 11 12 12  0],[0 0 7 0 0 0 0 0 7 8 0 0 0 0 0 0 0]
8,"['Despite' 'winning' 'the' 'Asian' 'Games' 'title' 'two' 'years' 'ago' ','
 'Uzbekistan' 'are' 'in' 'the' 'finals' 'as' 'outsiders' '.']",[15 39 12 16 23 21 11 24 30  6 22 41 15 12 24 15 24  7],[13 21 11 12 12 12 11 12  3  0 11 21 13 11 12 17 11  0],[0 0 0 7 8 0 0 0 0 0 5 0 0 0 0 0 0 0]
9,"['Two' 'goals' 'from' 'defensive' 'errors' 'in' 'the' 'last' 'six'
 'minutes' 'allowed' 'Japan' 'to' 'come' 'from' 'behind' 'and' 'collect'
 'all' 'three' 'points' 'from' 'their' 'opening' 'meeting' 'against'
 'Syria' '.']","[11 24 15 16 24 15 12 16 11 24 38 22 35 37 15 21 10 37 12 11 24 15 29 21
 21 15 22  7]","[11 12 13 11 12 13 11 12 12 12 21 11 21 22 13 11  0 21 11 12 12 13 11 12
 12 13 11  0]",[0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0]
10,"['Takuya' 'Takagi' 'scored' 'the' 'winner' 'in' 'the' '88th' 'minute' ','
 'rising' 'to' 'head' 'a' 'Hiroshige' 'Yanagimoto' 'cross' 'towards' 'the'
 'Syrian' 'goal' 'which' 'goalkeeper' 'Salem' 'Bitar' 'appeared' 'to'
 'have' 'covered' 'but' 'then' 'allowed' 'to' 'slip' 'into' 'the' 'net'
 '.']","[22 22 38 12 21 15 12 16 21  6 39 35 37 12 22 22 37 15 12 16 21 43 38 22
 22 38 35 37 40 10 30 40 35 37 15 12 21  7]","[11 12 21 11 12 13 11 12 12  0 21 22 22 11 12 12 21 13 11 12 12 11 21 11
 12 21 22 22 22  0 21 22 22 22 13 11 12  0]","[1 2 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 7 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0
 0]"
11,"['It' 'was' 'the' 'second' 'costly' 'blunder' 'by' 'Syria' 'in' 'four'
 'minutes' '.']",[28 38 12 16 16 21 15 22 15 11 24  7],[11 21 11 12 12 12 13 11 13 11 12  0],[0 0 0 0 0 0 0 5 0 0 0 0]
12,"['Defender' 'Hassan' 'Abbas' 'rose' 'to' 'intercept' 'a' 'long' 'ball'
 'into' 'the' 'area' 'in' 'the' '84th' 'minute' 'but' 'only' 'managed'
 'to' 'divert' 'it' 'into' 'the' 'top' 'corner' 'of' 'Bitar' ""'s"" 'goal'
 '.']","[22 22 22 38 35 37 12 16 21 15 12 21 15 12 16 21 10 30 38 35 37 28 15 12
 16 21 15 21 27 21  7]","[11 12 12 21 22 22 11 12 12 13 11 12 13 11 12 12  0  3 21 22 22 11 13 11
 12 12 13 11 11 12  0]",[0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
13,"['Nader' 'Jokhadar' 'had' 'given' 'Syria' 'the' 'lead' 'with' 'a'
 'well-struck' 'header' 'in' 'the' 'seventh' 'minute' '.']",[22 22 38 40 22 12 21 15 12 21 21 15 12 16 21  7],[11 12 21 22 11 11 12 13 11 12 12 13 11 12 12  0],[1 2 0 0 5 0 0 0 0 0 0 0 0 0 0 0]
14,"['Japan' 'then' 'laid' 'siege' 'to' 'the' 'Syrian' 'penalty' 'area' 'for'
 'most' 'of' 'the' 'game' 'but' 'rarely' 'breached' 'the' 'Syrian'
 'defence' '.']",[22 30 38 21 35 12 16 21 21 15 18 15 12 21 10 30 38 12 16 21  7],[11  3 21 11 13 11 12 12 12 13 11 13 11 12  0 21 22 11 12 12  0],[5 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 7 0 0]
15,['Bitar' 'pulled' 'off' 'fine' 'saves' 'whenever' 'they' 'did' '.'],[21 38 33 16 42 46 28 38  7],[11 21 15 11 21  3 11 21  0],[1 0 0 0 0 0 0 0 0]
16,"['Japan' 'coach' 'Shu' 'Kamo' 'said' ':' ""'"" ""'"" 'The' 'Syrian' 'own'
 'goal' 'proved' 'lucky' 'for' 'us' '.']",[22 21 22 22 38  8  1 27 12 16 16 21 38 16 15 28  7],[11 12 12 12 21  0  0 11 12 12 12 12 21  1 13 11  0],[5 0 1 2 0 0 0 0 0 7 0 0 0 0 0 0 0]
17,"['The' 'Syrians' 'scored' 'early' 'and' 'then' 'played' 'defensively'
 'and' 'adopted' 'long' 'balls' 'which' 'made' 'it' 'hard' 'for' 'us' '.'
 ""'""]",[12 23 38 16 10 30 40 30 10 38 30 42 43 38 28 16 15 28  7  1],[11 12 21 11  0 21 22  3  0 21 22 22 11 21 11  1 13 11  0  0],[0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
18,"[""'""]",[1],[0],[0]
19,"['Japan' ',' 'co-hosts' 'of' 'the' 'World' 'Cup' 'in' '2002' 'and'
 'ranked' '20th' 'in' 'the' 'world' 'by' 'FIFA' ',' 'are' 'favourites'
 'to' 'regain' 'their' 'title' 'here' '.']","[22  6 42 15 12 22 22 15 11 10 38 16 15 12 21 15 22  6 41 16 35 37 29 21
 30  7]","[11  0 21 13 11 12 12 13 11  0 21 11 13 11 12 13 11  0 21  1 21 22 11 12
  3  0]",[5 0 0 0 0 7 8 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0]
20,"['Hosts' 'UAE' 'play' 'Kuwait' 'and' 'South' 'Korea' 'take' 'on'
 'Indonesia' 'on' 'Saturday' 'in' 'Group' 'A' 'matches' '.']",[23 22 21 22 10 22 22 41 15 22 15 22 15 22 22 42  7],[11 12 12 12  0 11 12 21 13 11 13 11 13 11 12 21  0],[0 5 0 5 0 5 6 0 0 5 0 0 0 0 0 0 0]
21,"['All' 'four' 'teams' 'are' 'level' 'with' 'one' 'point' 'each' 'from'
 'one' 'game' '.']",[12 11 24 41 21 15 11 21 12 15 11 21  7],[11 12 12 21 11 13 11 12 11 13 11 12  0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
22,"['RUGBY' 'UNION' '-' 'CUTTITTA' 'BACK' 'FOR' 'ITALY' 'AFTER' 'A' 'YEAR'
 '.']",[22 21  8 22 22 15 16 22 22 22  7],[11 12  0 11 12 13 11 12 12 12  0],[3 4 0 1 0 0 5 0 0 0 0]
23,['ROME' '1996-12-06'],[37 11],[11 12],[5 0]
24,['Italy' 'recalled' 'Marcello' 'Cuttitta'],[22 38 22 22],[11 21 11 12],[5 0 1 2]
25,"['on' 'Friday' 'for' 'their' 'friendly' 'against' 'Scotland' 'at'
 'Murrayfield' 'more' 'than' 'a' 'year' 'after' 'the' '30-year-old' 'wing'
 'announced' 'he' 'was' 'retiring' 'following' 'differences' 'over'
 'selection' '.']","[15 22 15 29 16 15 22 15 22 17 15 12 21 15 12 16 21 38 28 38 39 39 24 15
 21  7]","[13 11 13 11 12 13 11 13 11  1 13 11 12 13 11 12 12 21 11 21 22 13 11 13
 11  0]",[0 0 0 0 0 0 5 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
