id,tokens,pos_tags,chunk_tags,ner_tags
0,['EU' 'rejects' 'German' 'call' 'to' 'boycott' 'British' 'lamb' '.'],[22 42 16 21 35 37 16 21  7],[11 21 11 12 21 22 11 12  0],[3 0 7 0 0 0 7 0 0]
1,['Peter' 'Blackburn'],[22 22],[11 12],[1 2]
2,['BRUSSELS' '1996-08-22'],[22 11],[11 12],[5 0]
3,"['The' 'European' 'Commission' 'said' 'on' 'Thursday' 'it' 'disagreed'
 'with' 'German' 'advice' 'to' 'consumers' 'to' 'shun' 'British' 'lamb'
 'until' 'scientists' 'determine' 'whether' 'mad' 'cow' 'disease' 'can'
 'be' 'transmitted' 'to' 'sheep' '.']","[12 22 22 38 15 22 28 38 15 16 21 35 24 35 37 16 21 15 24 41 15 16 21 21
 20 37 40 35 21  7]","[11 12 12 21 13 11 11 21 13 11 12 13 11 21 22 11 12 17 11 21 17 11 12 12
 21 22 22 13 11  0]",[0 3 4 0 0 0 0 0 0 7 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4,"['Germany' ""'s"" 'representative' 'to' 'the' 'European' 'Union' ""'s""
 'veterinary' 'committee' 'Werner' 'Zwingmann' 'said' 'on' 'Wednesday'
 'consumers' 'should' 'buy' 'sheepmeat' 'from' 'countries' 'other' 'than'
 'Britain' 'until' 'the' 'scientific' 'advice' 'was' 'clearer' '.']","[22 27 21 35 12 22 22 27 16 21 22 22 38 15 22 24 20 37 21 15 24 16 15 22
 15 12 16 21 38 17  7]","[11 11 12 13 11 12 12 11 12 12 12 12 21 13 11 12 21 22 11 13 11  1 13 11
 17 11 12 12 21  1  0]",[5 0 0 0 0 3 4 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0]
5,"['""' 'We' 'do' ""n't"" 'support' 'any' 'such' 'recommendation' 'because'
 'we' 'do' ""n't"" 'see' 'any' 'grounds' 'for' 'it' ',' '""' 'the'
 'Commission' ""'s"" 'chief' 'spokesman' 'Nikolaus' 'van' 'der' 'Pas' 'told'
 'a' 'news' 'briefing' '.']","[ 0 28 41 30 37 12 16 21 15 28 41 30 37 12 24 15 28  6  0 12 22 27 16 21
 22 22 14 22 38 12 21 21  7]","[ 0 11 21 22 22 11 12 12 17 11 21 22 22 11 12 13 11  0  0 11 12 11 12 12
 12 12 12 12 21 11 12 12  0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 2 2 2 0 0 0 0 0]
6,"['He' 'said' 'further' 'scientific' 'study' 'was' 'required' 'and' 'if'
 'it' 'was' 'found' 'that' 'action' 'was' 'needed' 'it' 'should' 'be'
 'taken' 'by' 'the' 'European' 'Union' '.']","[28 38 16 16 21 38 40 10 15 28 38 40 15 21 38 40 28 20 37 40 15 12 22 22
  7]","[11 21 11 12 12 21 22  0 17 11 21 22 17 11 21 22 11 21 22 22 13 11 12 12
  0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 0]
7,"['He' 'said' 'a' 'proposal' 'last' 'month' 'by' 'EU' 'Farm' 'Commissioner'
 'Franz' 'Fischler' 'to' 'ban' 'sheep' 'brains' ',' 'spleens' 'and'
 'spinal' 'cords' 'from' 'the' 'human' 'and' 'animal' 'food' 'chains'
 'was' 'a' 'highly' 'specific' 'and' 'precautionary' 'move' 'to' 'protect'
 'human' 'health' '.']","[28 38 12 21 16 21 15 22 22 22 22 22 35 37 21 24  6 24 10 16 24 15 12 21
 10 21 21 24 38 12 30 16 10 16 21 35 37 16 21  7]","[11 21 11 12 11 12 13 11 12 12 12 12 21 22 11 12  0 11  0 11 12 13 11 12
 12 12 12 12 21 11 12  1  2  2 11 21 22 11 12  0]","[0 0 0 0 0 0 0 3 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
8,"['Fischler' 'proposed' 'EU-wide' 'measures' 'after' 'reports' 'from'
 'Britain' 'and' 'France' 'that' 'under' 'laboratory' 'conditions' 'sheep'
 'could' 'contract' 'Bovine' 'Spongiform' 'Encephalopathy' '(' 'BSE' ')'
 '--' 'mad' 'cow' 'disease' '.']","[17 40 22 42 15 24 15 22 10 22 43 15 21 24 21 20 37 22 22 22  4 22  5  8
 16 21 21  7]","[11 12 12 21 13 11 13 11 12 12 11 13 11 11 12 21 22 11 12 12  0 11  0  0
 11 12 12  0]",[1 0 7 0 0 0 0 5 0 5 0 0 0 0 0 0 0 7 8 8 0 7 0 0 0 0 0 0]
9,"['But' 'Fischler' 'agreed' 'to' 'review' 'his' 'proposal' 'after' 'the'
 'EU' ""'s"" 'standing' 'veterinary' 'committee' ',' 'mational' 'animal'
 'health' 'officials' ',' 'questioned' 'if' 'such' 'action' 'was'
 'justified' 'as' 'there' 'was' 'only' 'a' 'slight' 'risk' 'to' 'human'
 'health' '.']","[10 22 38 35 37 29 21 15 12 22 27 21 16 21  6 16 21 21 24  6 38 15 16 21
 38 40 15 30 38 30 12 16 21 35 16 21  7]","[ 0 11 21 22 22 11 12 13 11 12 11 12 12 12  0 11 12 12 12  0 21 17 11 12
 21 22 13  3 21  3 11 12 12 13 11 12  0]",[0 1 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
10,"['Spanish' 'Farm' 'Minister' 'Loyola' 'de' 'Palacio' 'had' 'earlier'
 'accused' 'Fischler' 'at' 'an' 'EU' 'farm' 'ministers' ""'"" 'meeting' 'of'
 'causing' 'unjustified' 'alarm' 'through' '""' 'dangerous'
 'generalisation' '.' '""']","[22 22 22 22 22 22 38 31 40 22 15 12 16 21 24 27 21 15 39 16 21 15  0 16
 21  7  0]","[11 12 12 12 12 12 21 22 22 11 13 11 12 12 12 11 12 13 21  1 11 13  0 11
 12  0  0]",[7 0 0 1 2 2 0 0 0 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
11,['.'],[7],[0],[0]
12,"['Only' 'France' 'and' 'Britain' 'backed' 'Fischler' ""'s"" 'proposal' '.']",[30 22 10 22 38 22 27 21  7],[11 12 12 12 21 11 11 12  0],[0 5 0 5 0 1 0 0 0]
13,"['The' 'EU' ""'s"" 'scientific' 'veterinary' 'and' 'multidisciplinary'
 'committees' 'are' 'due' 'to' 're-examine' 'the' 'issue' 'early' 'next'
 'month' 'and' 'make' 'recommendations' 'to' 'the' 'senior' 'veterinary'
 'officials' '.']","[12 22 27 16 16 10 16 24 41 16 35 37 12 21 30 16 21 10 37 24 35 12 16 16
 24  7]","[11 12 11 12 12 12 12 12 21  1 21 22 11 12 11 12 12  0 21 11 13 11 12 12
 12  0]",[0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
14,"['Sheep' 'have' 'long' 'been' 'known' 'to' 'contract' 'scrapie' ',' 'a'
 'brain-wasting' 'disease' 'similar' 'to' 'BSE' 'which' 'is' 'believed'
 'to' 'have' 'been' 'transferred' 'to' 'cattle' 'through' 'feed'
 'containing' 'animal' 'waste' '.']","[22 41 30 40 40 35 21 21  6 12 16 21 16 35 22 43 42 40 35 37 40 40 35 24
 15 21 39 21 21  7]","[11 21 22 22 22 13 11 12  0 11 12 12  1 13 11 11 21 22 22 22 22 22 13 11
 13 11 21 11 12  0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
15,"['British' 'farmers' 'denied' 'on' 'Thursday' 'there' 'was' 'any' 'danger'
 'to' 'human' 'health' 'from' 'their' 'sheep' ',' 'but' 'expressed'
 'concern' 'that' 'German' 'government' 'advice' 'to' 'consumers' 'to'
 'avoid' 'British' 'lamb' 'might' 'influence' 'consumers' 'across'
 'Europe' '.']","[16 24 40 15 22 13 38 12 21 35 16 21 15 29 21  6 10 38 21 15 16 21 21 35
 24 35 37 16 21 20 37 24 15 22  7]","[11 12 21 13 11 11 21 11 12 13 11 12 13 11 12  0  0 21 11 17 11 12 12 13
 11 21 22 11 12 21 22 11 13 11  0]",[7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 7 0 0 0 0 0 5 0]
16,"['""' 'What' 'we' 'have' 'to' 'be' 'extremely' 'careful' 'of' 'is' 'how'
 'other' 'countries' 'are' 'going' 'to' 'take' 'Germany' ""'s"" 'lead' ','
 '""' 'Welsh' 'National' 'Farmers' ""'"" 'Union' '(' 'NFU' ')' 'chairman'
 'John' 'Lloyd' 'Jones' 'said' 'on' 'BBC' 'radio' '.']","[ 0 44 28 41 35 37 30 16 15 42 46 16 24 41 39 35 37 22 27 21  6  0 22 22
 22 27 22  4 22  5 21 22 22 22 38 15 22 21  7]","[ 0 11 11 21 22 22  1  2 13 21  3 11 12 21 22 22 22 11 11 12  0  0 11 12
 12 11 12  0 11  0 11 12 12 12 21 13 11 12  0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 3 4 4 4 4 0 3 0 0 1 2 2 0 0 3
 4 0]"
17,"['Bonn' 'has' 'led' 'efforts' 'to' 'protect' 'public' 'health' 'after'
 'consumer' 'confidence' 'collapsed' 'in' 'March' 'after' 'a' 'British'
 'report' 'suggested' 'humans' 'could' 'contract' 'an' 'illness' 'similar'
 'to' 'mad' 'cow' 'disease' 'by' 'eating' 'contaminated' 'beef' '.']","[22 42 40 24 35 37 16 21 15 21 21 38 15 22 15 12 16 21 38 24 20 37 12 21
 16 35 16 21 21 15 39 40 21  7]","[11 21 22 11 21 22 11 12 13 11 12 21 13 11 13 11 12 12 21 11 21 22 11 12
  1  2  2 11 12 13 21 22 11  0]",[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
18,"['Germany' 'imported' '47,600' 'sheep' 'from' 'Britain' 'last' 'year' ','
 'nearly' 'half' 'of' 'total' 'imports' '.']",[22 38 11 21 15 22 16 21  6 30 21 15 16 24  7],[11 21 11 12 13 11 11 12  0 11 12 13 11 12  0],[5 0 0 0 0 5 0 0 0 0 0 0 0 0 0]
